pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,swaps
0,1,72,74,001001000,001001010,0
0,2,72,76,001001000,001001100,0
0,3,72,78,001001000,001001110,0
0,4,72,80,001001000,001010000,0
0,5,72,81,001001000,001010001,0
0,6,72,82,001001000,001010010,0
0,7,72,83,001001000,001010011,0
0,8,72,84,001001000,001010100,0
0,9,72,85,001001000,001010101,0
0,10,72,86,001001000,001010110,0
0,11,72,87,001001000,001010111,0
0,12,72,88,001001000,001011000,0
0,13,72,90,001001000,001011010,0
0,14,72,92,001001000,001011100,0
0,15,72,94,001001000,001011110,0
0,16,72,96,001001000,001100000,0
0,17,72,97,001001000,001100001,0
0,18,72,98,001001000,001100010,0
0,19,72,99,001001000,001100011,0
0,20,72,101,001001000,001100101,0
0,21,72,103,001001000,001100111,0
0,22,72,104,001001000,001101000,0
0,23,72,106,001001000,001101010,0
0,24,72,112,001001000,001110000,0
0,25,72,113,001001000,001110001,0
0,26,72,114,001001000,001110010,0
0,27,72,115,001001000,001110011,0
0,28,72,117,001001000,001110101,0
0,29,72,119,001001000,001110111,0
0,30,72,120,001001000,001111000,0
0,31,72,122,001001000,001111010,0
0,32,72,136,001001000,010001000,0
0,33,72,137,001001000,010001001,0
0,34,72,138,001001000,010001010,0
0,35,72,139,001001000,010001011,0
0,36,72,140,001001000,010001100,0
0,37,72,141,001001000,010001101,0
0,38,72,142,001001000,010001110,0
0,39,72,143,001001000,010001111,0
0,40,72,144,001001000,010010000,0
0,41,72,145,001001000,010010001,0
0,42,72,148,001001000,010010100,0
0,43,72,149,001001000,010010101,0
0,44,72,152,001001000,010011000,0
0,45,72,153,001001000,010011001,0
0,46,72,156,001001000,010011100,0
0,47,72,157,001001000,010011101,0
0,48,72,160,001001000,010100000,0
0,49,72,161,001001000,010100001,0
0,50,72,162,001001000,010100010,0
0,51,72,163,001001000,010100011,0
0,52,72,165,001001000,010100101,0
0,53,72,167,001001000,010100111,0
0,54,72,168,001001000,010101000,0
0,55,72,169,001001000,010101001,0
0,56,72,170,001001000,010101010,0
0,57,72,171,001001000,010101011,0
0,58,72,173,001001000,010101101,0
0,59,72,175,001001000,010101111,0
0,60,72,176,001001000,010110000,0
0,61,72,177,001001000,010110001,0
0,62,72,181,001001000,010110101,0
0,63,72,184,001001000,010111000,0
0,64,72,185,001001000,010111001,0
0,65,72,189,001001000,010111101,0
0,66,72,200,001001000,011001000,0
0,67,72,202,001001000,011001010,0
0,68,72,204,001001000,011001100,0
0,69,72,206,001001000,011001110,0
0,70,72,208,001001000,011010000,0
0,71,72,209,001001000,011010001,0
0,72,72,212,001001000,011010100,0
0,73,72,213,001001000,011010101,0
0,74,72,216,001001000,011011000,0
0,75,72,220,001001000,011011100,0
0,76,72,224,001001000,011100000,0
0,77,72,225,001001000,011100001,0
0,78,72,226,001001000,011100010,0
0,79,72,227,001001000,011100011,0
0,80,72,229,001001000,011100101,0
0,81,72,231,001001000,011100111,0
0,82,72,232,001001000,011101000,0
0,83,72,234,001001000,011101010,0
0,84,72,240,001001000,011110000,0
0,85,72,241,001001000,011110001,0
0,86,72,245,001001000,011110101,0
0,87,72,248,001001000,011111000,0
0,88,72,266,001001000,100001010,0
0,89,72,267,001001000,100001011,0
0,90,72,268,001001000,100001100,0
0,91,72,269,001001000,100001101,0
0,92,72,270,001001000,100001110,0
0,93,72,271,001001000,100001111,0
0,94,72,274,001001000,100010010,0
0,95,72,275,001001000,100010011,0
0,96,72,276,001001000,100010100,0
0,97,72,277,001001000,100010101,0
0,98,72,278,001001000,100010110,0
0,99,72,279,001001000,100010111,0
0,100,72,282,001001000,100011010,0
0,101,72,283,001001000,100011011,0
0,102,72,284,001001000,100011100,0
