pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,min_flips,min_swaps
1,52,74,165,001001010,010100101,1,5
1,62,74,181,001001010,010110101,2,5
1,156,74,421,001001010,110100101,2,5
1,162,74,437,001001010,110110101,3,5
4,107,80,291,001010000,100100011,0,5
4,109,80,295,001010000,100100111,1,5
4,111,80,299,001010000,100101011,1,5
4,113,80,303,001010000,100101111,2,5
4,147,80,397,001010000,110001101,1,5
4,149,80,399,001010000,110001111,2,5
4,155,80,419,001010000,110100011,1,5
4,157,80,423,001010000,110100111,2,5
4,159,80,427,001010000,110101011,2,5
4,160,80,429,001010000,110101101,2,5
4,161,80,431,001010000,110101111,3,5
6,147,82,397,001010010,110001101,2,5
6,149,82,399,001010010,110001111,1,5
6,160,82,429,001010010,110101101,3,5
6,161,82,431,001010010,110101111,2,5
8,56,84,170,001010100,010101010,1,5
8,57,84,171,001010100,010101011,2,5
8,107,84,291,001010100,100100011,1,5
8,109,84,295,001010100,100100111,0,5
8,111,84,299,001010100,100101011,2,5
8,113,84,303,001010100,100101111,1,5
8,155,84,419,001010100,110100011,2,5
8,157,84,423,001010100,110100111,1,5
8,158,84,426,001010100,110101010,2,5
8,159,84,427,001010100,110101011,3,5
8,161,84,431,001010100,110101111,2,5
9,56,85,170,001010101,010101010,2,5
9,57,85,171,001010101,010101011,1,5
9,158,85,426,001010101,110101010,3,5
9,159,85,427,001010101,110101011,2,5
12,107,88,291,001011000,100100011,1,5
12,109,88,295,001011000,100100111,2,5
12,111,88,299,001011000,100101011,0,5
12,113,88,303,001011000,100101111,1,5
12,155,88,419,001011000,110100011,2,5
12,157,88,423,001011000,110100111,3,5
12,159,88,427,001011000,110101011,1,5
12,161,88,431,001011000,110101111,2,5
13,52,90,165,001011010,010100101,2,5
13,62,90,181,001011010,010110101,1,5
13,156,90,421,001011010,110100101,3,5
13,162,90,437,001011010,110110101,2,5
14,107,92,291,001011100,100100011,2,5
14,109,92,295,001011100,100100111,1,5
14,111,92,299,001011100,100101011,1,5
14,113,92,303,001011100,100101111,0,5
14,155,92,419,001011100,110100011,3,5
14,157,92,423,001011100,110100111,2,5
