pattern_idx_i,pattern_idx_j,type_i,type_j,min_swaps
958569,246334,Y,X,5
233741,1487045,X,Y,5
233741,624654,X,X,5
799325,1277226,Y,Y,5
432235,425340,X,X,5
432235,933450,X,Y,5
652366,557211,X,X,5
652366,960366,X,Y,5
190651,563062,X,X,5
712857,421168,Y,X,5
1540537,1377196,Y,Y,5
1570163,1218014,Y,Y,5
1570163,64655,Y,X,5
1570163,86208,Y,X,5
278214,498056,X,X,5
278214,700711,X,Y,5
418584,537849,X,X,5
557211,90863,X,X,5
614910,990590,X,Y,5
1422222,308141,Y,X,5
692963,90863,Y,X,5
692963,652248,Y,X,5
1137114,1573282,Y,Y,5
1019388,426735,Y,X,5
425340,426735,X,X,5
1389976,1277226,Y,Y,5
189823,138313,X,X,5
189823,226097,X,X,5
1161037,275330,Y,X,5
1161037,20545,Y,X,5
195738,428477,X,X,5
444655,1361227,X,Y,5
400831,386660,X,X,5
794934,1559120,Y,Y,5
498056,1290007,X,Y,5
761343,138313,Y,X,5
1510290,990590,Y,Y,5
990590,1197543,Y,Y,5
