pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,worst_min_swaps
1,61,74,177,001001010,010110001,6
1,116,74,309,001001010,100110101,6
1,151,74,405,001001010,110010101,6
1,162,74,437,001001010,110110101,6
2,61,76,177,001001100,010110001,6
2,115,76,307,001001100,100110011,6
3,61,78,177,001001110,010110001,6
3,115,78,307,001001110,100110011,6
4,93,80,271,001010000,100001111,6
4,113,80,303,001010000,100101111,6
4,155,80,419,001010000,110100011,6
4,157,80,423,001010000,110100111,6
4,159,80,427,001010000,110101011,6
4,160,80,429,001010000,110101101,6
4,161,80,431,001010000,110101111,6
5,124,81,334,001010001,101001110,6
5,144,81,394,001010001,110001010,6
5,148,81,398,001010001,110001110,6
5,158,81,426,001010001,110101010,6
5,161,81,431,001010001,110101111,6
6,37,82,141,001010010,010001101,6
6,58,82,173,001010010,010101101,6
6,80,82,229,001010010,011100101,6
6,160,82,429,001010010,110101101,6
8,51,84,163,001010100,010100011,6
8,111,84,299,001010100,100101011,6
8,113,84,303,001010100,100101111,6
8,155,84,419,001010100,110100011,6
8,158,84,426,001010100,110101010,6
8,159,84,427,001010100,110101011,6
8,161,84,431,001010100,110101111,6
9,34,85,138,001010101,010001010,6
9,100,85,282,001010101,100011010,6
9,144,85,394,001010101,110001010,6
9,158,85,426,001010101,110101010,6
10,55,86,169,001010110,010101001,6
10,58,86,173,001010110,010101101,6
10,61,86,177,001010110,010110001,6
10,159,86,427,001010110,110101011,6
10,160,86,429,001010110,110101101,6
12,109,88,295,001011000,100100111,6
12,137,88,359,001011000,101100111,6
12,156,88,421,001011000,110100101,6
12,157,88,423,001011000,110100111,6
12,161,88,431,001011000,110101111,6
13,80,90,229,001011010,011100101,6
14,51,92,163,001011100,010100011,6
14,137,92,359,001011100,101100111,6
14,155,92,419,001011100,110100011,6
15,61,94,177,001011110,010110001,6
15,80,94,229,001011110,011100101,6
16,93,96,271,001100000,100001111,6
16,100,96,282,001100000,100011010,6
16,105,96,287,001100000,100011111,6
16,149,96,399,001100000,110001111,6
16,153,96,413,001100000,110011101,6
17,100,97,282,001100001,100011010,6
17,124,97,334,001100001,101001110,6
18,37,98,141,001100010,010001101,6
18,47,98,157,001100010,010011101,6
18,102,98,284,001100010,100011100,6
18,147,98,397,001100010,110001101,6
18,151,98,405,001100010,110010101,6
18,152,98,412,001100010,110011100,6
18,153,98,413,001100010,110011101,6
19,68,99,204,001100011,011001100,6
19,102,99,284,001100011,100011100,6
19,152,99,412,001100011,110011100,6
20,44,101,152,001100101,010011000,6
20,100,101,282,001100101,100011010,6
21,44,103,152,001100111,010011000,6
21,100,103,282,001100111,100011010,6
23,61,106,177,001101010,010110001,6
23,116,106,309,001101010,100110101,6
23,151,106,405,001101010,110010101,6
23,162,106,437,001101010,110110101,6
24,93,112,271,001110000,100001111,6
24,113,112,303,001110000,100101111,6
24,124,112,334,001110000,101001110,6
24,149,112,399,001110000,110001111,6
25,124,113,334,001110001,101001110,6
26,37,114,141,001110010,010001101,6
26,58,114,173,001110010,010101101,6
26,146,114,396,001110010,110001100,6
26,147,114,397,001110010,110001101,6
26,149,114,399,001110010,110001111,6
26,152,114,412,001110010,110011100,6
26,153,114,413,001110010,110011101,6
27,36,115,140,001110011,010001100,6
27,68,115,204,001110011,011001100,6
27,146,115,396,001110011,110001100,6
27,147,115,397,001110011,110001101,6
27,148,115,398,001110011,110001110,6
28,34,117,138,001110101,010001010,6
28,100,117,282,001110101,100011010,6
28,144,117,394,001110101,110001010,6
28,158,117,426,001110101,110101010,6
31,80,122,229,001111010,011100101,6
31,147,122,397,001111010,110001101,6
31,151,122,405,001111010,110010101,6
31,156,122,421,001111010,110100101,6
31,162,122,437,001111010,110110101,6
32,115,136,307,010001000,100110011,6
32,117,136,311,010001000,100110111,6
32,137,136,359,010001000,101100111,6
32,142,136,375,010001000,101110111,6
34,128,138,341,010001010,101010101,6
34,137,138,359,010001010,101100111,6
34,141,138,373,010001010,101110101,6
34,142,138,375,010001010,101110111,6
36,115,140,307,010001100,100110011,6
36,135,140,355,010001100,101100011,6
36,137,140,359,010001100,101100111,6
36,140,140,371,010001100,101110011,6
37,115,141,307,010001101,100110011,6
37,125,141,338,010001101,101010010,6
37,139,141,370,010001101,101110010,6
37,140,141,371,010001101,101110011,6
40,124,144,334,010010000,101001110,6
40,137,144,359,010010000,101100111,6
41,124,145,334,010010001,101001110,6
41,137,145,359,010010001,101100111,6
43,124,149,334,010010101,101001110,6
43,134,149,354,010010101,101100010,6
43,138,149,362,010010101,101101010,6
44,81,152,231,010011000,011100111,6
44,109,152,295,010011000,100100111,6
44,135,152,355,010011000,101100011,6
44,136,152,357,010011000,101100101,6
44,137,152,359,010011000,101100111,6
44,142,152,375,010011000,101110111,6
44,172,152,485,010011000,111100101,6
44,173,152,487,010011000,111100111,6
45,124,153,334,010011001,101001110,6
45,137,153,359,010011001,101100111,6
46,115,156,307,010011100,100110011,6
46,135,156,355,010011100,101100011,6
46,137,156,359,010011100,101100111,6
46,140,156,371,010011100,101110011,6
47,115,157,307,010011101,100110011,6
47,134,157,354,010011101,101100010,6
47,138,157,362,010011101,101101010,6
48,100,160,282,010100000,100011010,6
48,124,160,334,010100000,101001110,6
49,124,161,334,010100001,101001110,6
49,132,161,348,010100001,101011100,6
49,133,161,350,010100001,101011110,6
50,102,162,284,010100010,100011100,6
50,103,162,285,010100010,100011101,6
50,124,162,334,010100010,101001110,6
50,128,162,341,010100010,101010101,6
50,132,162,348,010100010,101011100,6
51,124,163,334,010100011,101001110,6
52,100,165,282,010100101,100011010,6
52,125,165,338,010100101,101010010,6
52,131,165,346,010100101,101011010,6
53,100,167,282,010100111,100011010,6
53,124,167,334,010100111,101001110,6
54,115,168,307,010101000,100110011,6
54,129,168,342,010101000,101010110,6
54,130,168,343,010101000,101010111,6
55,124,169,334,010101001,101001110,6
55,127,169,340,010101001,101010100,6
55,129,169,342,010101001,101010110,6
55,130,169,343,010101001,101010111,6
56,97,170,277,010101010,100010101,6
56,116,170,309,010101010,100110101,6
56,128,170,341,010101010,101010101,6
56,129,170,342,010101010,101010110,6
56,130,170,343,010101010,101010111,6
56,141,170,373,010101010,101110101,6
57,124,171,334,010101011,101001110,6
57,127,171,340,010101011,101010100,6
57,129,171,342,010101011,101010110,6
57,130,171,343,010101011,101010111,6
58,100,173,282,010101101,100011010,6
59,100,175,282,010101111,100011010,6
59,125,175,338,010101111,101010010,6
59,127,175,340,010101111,101010100,6
59,129,175,342,010101111,101010110,6
60,124,176,334,010110000,101001110,6
60,137,176,359,010110000,101100111,6
61,69,177,206,010110001,011001110,6
61,92,177,270,010110001,100001110,6
61,122,177,330,010110001,101001010,6
61,123,177,332,010110001,101001100,6
61,124,177,334,010110001,101001110,6
61,133,177,350,010110001,101011110,6
61,165,177,460,010110001,111001100,6
61,166,177,462,010110001,111001110,6
62,122,181,330,010110101,101001010,6
62,124,181,334,010110101,101001110,6
63,124,184,334,010111000,101001110,6
63,137,184,359,010111000,101100111,6
