device_card_index,Bit1,Bit2,Bit3,Bit4,Bit5,Bit6,Bit7,Bit8,Bit9
0,0,0,1,0,1,1,0,0,0
1,0,0,1,0,1,1,0,1,0
2,0,0,1,0,1,1,1,0,0
3,0,0,1,0,0,1,0,1,0
4,0,1,0,0,1,1,0,0,0
5,0,0,1,1,1,0,0,0,0
6,0,0,1,0,1,0,0,0,0
7,0,0,1,1,1,0,0,1,0
8,0,0,1,0,1,0,0,1,0
9,0,0,1,0,1,0,1,0,0
10,0,1,1,0,1,1,0,0,0
11,0,1,1,1,0,1,0,0,0
12,0,1,1,0,0,1,0,0,0
13,0,1,1,0,1,1,1,0,0
14,0,1,1,0,0,1,0,1,0
15,0,1,1,0,0,1,1,0,0
16,0,1,1,1,1,0,0,0,0
17,0,1,1,0,1,0,0,0,0
18,0,1,1,1,0,0,0,0,0
19,0,1,1,0,1,0,1,0,0
20,0,1,0,0,1,1,0,0,1
21,0,0,1,1,0,1,0,0,0
22,0,0,1,0,1,0,0,1,1
23,0,0,1,0,1,0,1,1,1
24,0,1,0,0,1,0,0,0,1
25,0,1,0,1,1,0,0,0,0
26,0,1,0,0,1,0,1,0,0
27,1,0,1,0,0,1,1,0,0
28,1,1,1,0,1,1,1,0,0
29,1,1,1,0,0,1,1,1,0
