puzzle_idx,A_pos,A_ori,B_pos,B_ori,C_pos,C_ori,D_pos,D_ori,E_pos,E_ori,F_pos,F_ori,α_pos,α_ori,β_pos,β_ori,γ_pos,γ_ori
0,5,0,4,0,7,0,1,0,2,0,6,1,9,0,3,1,8,1
1,1,0,3,1,2,0,5,1,8,1,6,0,7,0,4,1,9,1
2,2,1,4,1,5,0,3,1,1,1,6,1,8,1,7,0,9,0
3,1,0,2,0,8,0,5,0,3,1,6,0,4,1,9,1,7,1
4,6,1,2,1,5,0,1,1,7,1,3,0,9,0,4,1,8,0
5,1,0,4,0,7,1,3,1,6,0,2,1,8,0,9,0,5,0
6,1,0,3,0,2,1,4,0,5,0,7,1,8,0,6,0,9,0
7,1,0,5,1,4,0,2,1,3,0,6,0,7,0,8,1,9,1
8,1,0,2,1,3,0,6,0,4,0,9,0,5,0,7,1,8,1
9,2,0,9,0,7,1,6,1,1,1,3,0,8,1,5,0,4,0
10,2,1,7,1,6,0,1,1,4,1,3,0,5,0,8,1,9,1
11,1,1,2,1,7,0,4,1,6,0,3,1,9,0,8,0,5,1
12,2,1,1,1,5,0,3,0,9,0,4,1,8,0,7,0,6,1
13,9,1,1,1,4,1,3,1,2,1,5,1,6,1,8,0,7,0
14,1,0,2,0,4,1,7,0,3,1,8,0,5,1,6,1,9,1
15,1,0,7,0,2,1,3,0,5,0,4,1,6,1,9,0,8,1
16,1,1,2,1,6,0,3,1,9,0,4,0,5,0,8,1,7,1
17,6,1,8,1,9,1,1,1,5,1,2,0,7,0,3,0,4,0
18,8,1,1,1,5,0,2,1,3,0,4,0,9,0,6,0,7,1
19,6,1,5,1,7,1,2,1,1,1,3,0,8,1,4,0,9,0
20,1,0,2,0,6,1,5,0,3,1,4,1,8,0,7,1,9,0
21,2,1,3,0,4,0,1,1,5,1,7,1,9,1,6,0,8,0
22,8,0,4,1,7,1,5,0,1,1,2,1,3,0,6,0,9,0
23,4,0,2,1,7,0,3,0,1,1,5,0,8,1,6,1,9,1
24,1,0,3,0,2,1,4,0,6,1,8,0,7,0,5,1,9,0
25,4,1,3,1,5,0,1,1,9,0,2,0,8,0,7,1,6,0
26,1,1,2,1,4,0,3,0,5,0,7,0,6,1,9,1,8,0
27,3,1,4,0,8,0,5,1,1,1,7,0,6,1,9,0,2,1
28,1,1,2,1,9,1,4,1,6,0,5,1,3,0,7,0,8,1
29,5,1,1,1,7,1,2,0,3,0,4,1,8,1,6,0,9,1
