device_card_index,chosen_orig_row_index,chosen_bit_string,num_candidates,num_candidates_valid176
0,88,001011000,5,5
1,90,001011010,5,5
2,92,001011100,5,5
3,74,001001010,5,5
4,152,010011000,4,4
5,112,001110000,5,5
6,80,001010000,6,6
7,114,001110010,6,6
8,82,001010010,5,5
9,84,001010100,6,6
10,216,011011000,6,6
11,232,011101000,5,5
12,200,011001000,6,6
13,220,011011100,6,6
14,202,011001010,5,5
15,204,011001100,4,4
16,240,011110000,5,5
17,208,011010000,5,5
18,224,011100000,5,5
19,212,011010100,5,5
20,153,010011001,2,2
21,104,001101000,2,2
22,83,001010011,2,2
23,87,001010111,2,2
24,145,010010001,2,2
25,176,010110000,2,2
26,148,010010100,3,3
27,332,101001100,2,2
28,476,111011100,3,3
29,462,111001110,2,2
