Bit,Group,Pairs_differing_at_bit,Share_of_pairs_in_group,Bucket
1,same-class,2720,0.5082212257100149,"Warm-triangle {1,2,8}"
2,same-class,2720,0.5082212257100149,"Warm-triangle {1,2,8}"
3,same-class,2304,0.4304932735426009,"Cross {3,5,7}"
4,same-class,2720,0.5082212257100149,"Cold-triangle {4,6,9}"
5,same-class,2304,0.4304932735426009,"Cross {3,5,7}"
6,same-class,2720,0.5082212257100149,"Cold-triangle {4,6,9}"
7,same-class,2304,0.4304932735426009,"Cross {3,5,7}"
8,same-class,2720,0.5082212257100149,"Warm-triangle {1,2,8}"
9,same-class,2720,0.5082212257100149,"Cold-triangle {4,6,9}"
1,cross-class,5024,0.5,"Warm-triangle {1,2,8}"
2,cross-class,5024,0.5,"Warm-triangle {1,2,8}"
3,cross-class,5440,0.5414012738853503,"Cross {3,5,7}"
4,cross-class,5024,0.5,"Cold-triangle {4,6,9}"
5,cross-class,5440,0.5414012738853503,"Cross {3,5,7}"
6,cross-class,5024,0.5,"Cold-triangle {4,6,9}"
7,cross-class,5440,0.5414012738853503,"Cross {3,5,7}"
8,cross-class,5024,0.5,"Warm-triangle {1,2,8}"
9,cross-class,5024,0.5,"Cold-triangle {4,6,9}"
