Card1,Card2,Swap_pairs,Swap_share
E,β,32,0.0735632183908046
A,D,27,0.06206896551724138
C,F,26,0.059770114942528735
α,β,24,0.05517241379310345
B,E,24,0.05517241379310345
A,γ,24,0.05517241379310345
B,γ,22,0.05057471264367816
C,D,22,0.05057471264367816
β,γ,22,0.05057471264367816
α,γ,22,0.05057471264367816
B,F,21,0.04827586206896552
F,γ,21,0.04827586206896552
E,F,20,0.04597701149425287
C,E,20,0.04597701149425287
F,α,20,0.04597701149425287
C,α,20,0.04597701149425287
D,β,19,0.04367816091954023
A,F,19,0.04367816091954023
D,α,17,0.03908045977011494
A,β,17,0.03908045977011494
A,E,16,0.0367816091954023
B,α,16,0.0367816091954023
E,α,16,0.0367816091954023
B,β,15,0.034482758620689655
E,γ,13,0.029885057471264367
B,D,13,0.029885057471264367
A,B,13,0.029885057471264367
D,E,13,0.029885057471264367
D,γ,13,0.029885057471264367
C,γ,12,0.027586206896551724
C,β,12,0.027586206896551724
B,C,12,0.027586206896551724
A,α,12,0.027586206896551724
A,C,10,0.022988505747126436
D,F,9,0.020689655172413793
F,β,8,0.01839080459770115
